,chain,character_levdau,check_time,condition,flag_type,gold_candidate_transcription,gold_comparison_transcription,gold_dist,reason,stimulus,stimulus_id,subject_id,target_length,upload_time,upstream_pointer,upstream_subject_id,user,user_candidate_transcription,user_comparison_transcription,user_dist,user_short,word_distances
0,0,,,,,,,,,,0,,,,-1,,0,each nonfiction book has a call number on its spine,,,,
1519,0,0.03846153989434242,820.0,cafe,,each nonfiction book has a call number on its spine,each non viction book has a called number on its spine,0.07407407462596893,,0.0,0,,10.0,0.0,0,0,8cf6535ea0ae4addb28f5f90a2b13a7d,each non fiction book has a call number in its spine,each non viction book has a called number on its spine,0.07407407462596893,8cf6535e,3.0
30,0,0.07692307978868484,767.0,cafe,,each non fiction book has a call number in its spine,each nonfiction book had a can number on its spine,0.09615384787321091,,0.0,0,,11.0,0.0,2,8cf6535ea0ae4addb28f5f90a2b13a7d,edf8f705ab7241a191fa3ae24e381ebc,Each nonfiction book had a call number on its spine,each nonfiction book had a can number on its spine,0.05882352963089943,edf8f705,4.0
427,0,0.019607843831181526,937.0,cafe,,Each nonfiction book had a call number on its spine,each nonfictionblekaracall number on its fine,0.21568627655506134,,0.0,0,,10.0,0.0,3,edf8f705ab7241a191fa3ae24e381ebc,5bcd571bb9b645bc92fe6a4a7d5cfb35,each nonfiction book had a call number on its spine,each nonfictionblekaracall number on its fine,0.19607843458652496,5bcd571b,0.0
716,0,0.01923076994717121,964.0,cafe,,each nonfiction book had a call number on its spine,each nonfiction book had a call number on its spine,0.0,,0.0,0,,10.0,0.0,5,5bcd571bb9b645bc92fe6a4a7d5cfb35,d14ebf1fffae49d8b76323eb6c393120,each non fiction book had a call number on its spine,each nonfiction book had a call number on its spine,0.01923076994717121,d14ebf1f,2.0
247,0,0.01923076994717121,967.0,cafe,,each non fiction book had a call number on its spine,each nonfiction book had a call number on its fine,0.057692307978868484,,0.0,0,,11.0,0.0,6,d14ebf1fffae49d8b76323eb6c393120,67497f6ffb7e47d795ea7b655ccdd0ca,each nonfiction book had a call number on its spine,each nonfiction book had a call number on its fine,0.03921568766236305,67497f6f,2.0
825,0,0.1764705926179886,527.0,cafe,,each nonfiction book had a call number on its spine,each nonficin book had twelve numbers on its spine,0.1764705926179886,,0.0,0,,10.0,0.0,7,67497f6ffb7e47d795ea7b655ccdd0ca,dc02e8bc38234eed94e4e0cfbe083801,Each non fiction book had 12 numbers on its spine,each nonficin book had twelve numbers on its spine,0.20000000298023224,dc02e8bc,5.0
1189,0,0.13461539149284363,591.0,cafe,,Each non fiction book had 12 numbers on its spine,ach none fiction both had twelve numbers on it spye,0.2549019753932953,,0.0,0,,10.0,0.0,8,dc02e8bc38234eed94e4e0cfbe083801,e1f5fb8bc21048cb8a50771b80eda39a,Each nonfiction book had twelve numbers on its spine,ach none fiction both had twelve numbers on it spye,0.1538461595773697,e1f5fb8b,3.0
512,0,0.03773584961891174,844.0,cafe,,Each nonfiction book had twelve numbers on its spine,each nonfiction book had twelve numbers on its spine,0.01923076994717121,,0.0,0,,9.0,0.0,10,e1f5fb8bc21048cb8a50771b80eda39a,53edaed0aee2422e96af6c0d3d636962,each non fiction book had twelve numbers on its spine,each nonfiction book had twelve numbers on its spine,0.01886792480945587,53edaed0,2.0
1655,0,0.11320754885673523,1045.0,cafe,,each non fiction book had twelve numbers on its spine,each nonfiction book had twelve notches on its pine,0.1320754736661911,,0.0,0,,10.0,0.0,11,53edaed0aee2422e96af6c0d3d636962,a575811edc0841b082724370f678d574,each nonfiction book had twelve notches on its spine,each nonfiction book had twelve notches on its pine,0.01923076994717121,a575811e,3.0
1335,0,0.03846153989434242,647.0,cafe,,each nonfiction book had twelve notches on its spine,each nonfiction book had twelve matches in its spine,0.057692307978868484,,0.0,0,,9.0,0.0,12,a575811edc0841b082724370f678d574,d2309e9d6bcc43cf9559553f83e0d299,Each nonfiction book had twelve notches in its spine,each nonfiction book had twelve matches in its spine,0.057692307978868484,d2309e9d,1.0
462,0,0.557692289352417,837.0,cafe,,Each nonfiction book had twelve notches in its spine,which nonfiction book would you want to read,0.5384615659713745,,0.0,0,,9.0,0.0,16,d2309e9d6bcc43cf9559553f83e0d299,e6760247169048e0b7cadc76964b404e,which non fiction book would you want to read,which nonfiction book would you want to read,0.02222222276031971,e6760247,9.0
637,0,0.1111111119389534,1105.0,cafe,,which non fiction book would you want to read,which nonfiction book would you lecterad,0.20000000298023224,,0.0,0,,9.0,0.0,18,e6760247169048e0b7cadc76964b404e,1cefe57bd04e4664a111ec51ceda6dd4,which nonfiction book would you like to read,which nonfiction book would you lecterad,0.13636364042758942,1cefe57b,3.0
960,0,0.11363636702299118,614.0,cafe,,which nonfiction book would you like to read,which should not fiction but be like to mean ,0.5111111402511597,,0.0,0,,8.0,0.0,19,1cefe57bd04e4664a111ec51ceda6dd4,a79de0dbbe7542d0ab5a7d1e95513ca9,Which nonfiction book do you like to read,which should not fiction but be like to mean ,0.4888888895511627,a79de0db,1.0
342,0,0.0476190485060215,779.0,cafe,,Which nonfiction book do you like to read,which nonfiction book do you like to read,0.024390242993831635,,0.0,0,,8.0,0.0,20,a79de0dbbe7542d0ab5a7d1e95513ca9,f1f031c96dc64732afb95fe3643f804f,which non fiction book do you like to read,which nonfiction book do you like to read,0.02380952425301075,f1f031c9,2.0
1608,0,0.0,1015.0,cafe,,which non fiction book do you like to read,which nonfiction but do you like tor,0.190476194024086,,0.0,0,,9.0,0.0,21,f1f031c96dc64732afb95fe3643f804f,94b7b6b62b3d4e01a305f4505f8c4f9e,which non fiction book do you like to read,which nonfiction but do you like tor,0.190476194024086,94b7b6b6,0.0
81,0,0.0,394.0,cafe,,which non fiction book do you like to read,which nonfiction book do you like to read,0.02380952425301075,,0.0,0,,9.0,0.0,23,94b7b6b62b3d4e01a305f4505f8c4f9e,7a6228b56e654884ad9f7f619443a89e,which non fiction book do you like to read,which nonfiction book do you like to read,0.02380952425301075,7a6228b5,0.0
1915,0,0.02380952425301075,642.0,cafe,,which non fiction book do you like to read,which nonfiction book do you like to read,0.02380952425301075,,0.0,0,,9.0,0.0,24,7a6228b56e654884ad9f7f619443a89e,6af9802ccc1441b5858ac8427da120de,Which non fiction book do you like to read,which nonfiction book do you like to read,0.0476190485060215,6af9802c,0.0
0,0,,,,,,,,,,1,,,,-1,,0,a dietitian goes to college for at least four years,,,,
866,0,0.0,601.0,cafe,,a dietitian goes to college for at least four years,a ditishsangoesto college for at least four years,0.11764705926179886,,1.0,1,,10.0,0.0,0,0,3418530188874362906071bff7b82f88,a dietitian goes to college for at least four years,a ditishsangoesto college for at least four years,0.11764705926179886,34185301,0.0
957,0,0.13725490868091583,1408.0,cafe,,a dietitian goes to college for at least four years,a priest goes to college for at least four years,0.13725490868091583,,1.0,1,,10.0,0.0,1,3418530188874362906071bff7b82f88,17aea24c08f1429c8fa43573f4342948,a priest goes to college for at least four years,a priest goes to college for at least four years,0.0,17aea24c,1.0
