,chain,character_levdau,check_time,condition,flag_type,gold_candidate_transcription,gold_comparison_transcription,gold_dist,length_accept,reason,stimulus,stimulus_id,subject_id,target_length,upload_time,upstream_pointer,upstream_subject_id,user,user_candidate_transcription,user_comparison_transcription,user_dist,user_short,word_distances
0,0,,,,,,,,,,,0,,,,-1,,0,each nonfiction book has a call number on its spine,,,,
685,0,0.0,907.0,cafe,,each nonfiction book has a call number on its spine,each none fiction book has a call member on its mine,0.11538461595773697,1.0,,0.0,0,,10.0,0.0,0,0,ced34bb304034c3aa798ad0d3bb2497a,each nonfiction book has a call number on its spine,each none fiction book has a call member on its mine,0.11538461595773697,ced34bb3,0.0
2006,0,0.019607843831181526,582.0,cafe,,each nonfiction book has a call number on its spine,each nonfiction book has a call lumber on its spine,0.019607843831181526,1.0,,0.0,0,,10.0,0.0,2,ced34bb304034c3aa798ad0d3bb2497a,dffcb242017c4c4f8f82ed941224b6c8,Each nonfiction book has a call number on its spine,each nonfiction book has a call lumber on its spine,0.03921568766236305,dffcb242,0.0
1464,0,0.2549019753932953,1468.0,cafe,,Each nonfiction book has a call number on its spine,each colsictionbog has a number homindsbyne,0.3921568691730499,1.0,,0.0,0,,10.0,0.0,3,dffcb242017c4c4f8f82ed941224b6c8,dda8b7f3daa94c3c8b503865fc95800b,each call section book has a number on its spine,each colsictionbog has a number homindsbyne,0.3125,dda8b7f3,3.0
3065,0,0.1428571492433548,952.0,cafe,,each call section book has a number on its spine,i call that you book has a number on it spine,0.2291666716337204,1.0,,0.0,0,,10.0,0.0,4,dda8b7f3daa94c3c8b503865fc95800b,7f5c9a97880243dc887a5901998e54d5,Each call that you book has a number on its spine,i call that you book has a number on it spine,0.10204081982374191,7f5c9a97,2.0
1813,0,0.3469387888908386,689.0,cafe,,Each call that you book has a number on its spine,its called an easel and as a number on its bine,0.40816327929496765,1.0,,0.0,0,,11.0,0.0,5,7f5c9a97880243dc887a5901998e54d5,b23a9f0736c042b08955a2ca1a434268,its called an easel and has a number on its spine,its called an easel and as a number on its bine,0.06122449040412903,b23a9f07,5.0
1680,0,0.2549019753932953,961.0,cafe,,its called an easel and has a number on its spine,its called an easel and its number in its fine,0.1428571492433548,1.0,,0.0,0,,11.0,0.0,6,b23a9f0736c042b08955a2ca1a434268,19522bf7ce7d4f23b0a83e5b515e48b9,It is called an easel and its number and it is fine,its called an easel and its number in its fine,0.13725490868091583,19522bf7,8.0
1903,0,0.23529411852359772,1304.0,cafe,,It is called an easel and its number and it is fine,its calling easel and i remember that its fun,0.4117647111415863,1.0,,0.0,0,,12.0,0.0,7,19522bf7ce7d4f23b0a83e5b515e48b9,8d0f270b85d34ee69619e79a675de93a,It is called an easel and I remember that it is fun,its calling easel and i remember that its fun,0.21568627655506134,8d0f270b,4.0
825,0,0.1568627506494522,1816.0,cafe,,It is called an easel and I remember that it is fun,its called a bus i remember that etsxfrone,0.3921568691730499,1.0,,0.0,0,,12.0,0.0,8,8d0f270b85d34ee69619e79a675de93a,682968427b5e47128ce07133a2415fe8,it is called a bus and remember that it is fun,its called a bus i remember that etsxfrone,0.260869562625885,68296842,3.0
1338,0,0.47826087474823,4356.0,cafe,,it is called a bus and remember that it is fun,its called a lesin memory of er smart ,0.52173912525177,1.0,,0.0,0,,11.0,0.0,9,682968427b5e47128ce07133a2415fe8,3cd248703995492dbd3ad9aeb51ff7ed,It is called a bus in memory if you are smart,its called a lesin memory of er smart ,0.31111112236976624,3cd24870,6.0
3903,0,0.08888889104127884,804.0,cafe,,It is called a bus in memory if you are smart,it caltofastomemory of your mark,0.46666666865348816,1.0,,0.0,0,,11.0,0.0,10,3cd248703995492dbd3ad9aeb51ff7ed,ae5d2b8dcbbd4757aa06ffcd566fe8ae,It is called a Boston memory if you are smart,it caltofastomemory of your mark,0.42222222685813904,ae5d2b8d,2.0
3379,0,0.08888889104127884,1312.0,cafe,,It is called a Boston memory if you are smart,its called a bus of memory if youre smart,0.20000000298023224,1.0,,0.0,0,,10.0,0.0,14,ae5d2b8dcbbd4757aa06ffcd566fe8ae,c35185fff8fe45898de89947eed14084,It is called a bus of memory if you are smart,its called a bus of memory if youre smart,0.1111111119389534,c35185ff,2.0
